"OSrXXb","rllt__details","yi40Hd","RDApEe","rllt__details 2","rllt__details 3","rllt__details 4","rllt__details 5","uDyWh","yYlJEf href","BSaJxc","yYlJEf href 2","UbRuwe","BI0Dve"
"Sakarni Plaster India Pvt.Ltd","· Cement Manufacturer","4.4","(180)","New Delhi, Delhi","· 011 4790 8032","⋅ Closes 9 pm","Open","""My house is looking fabulous and newly constructed.""","https://sakarni.com/","Website","https://www.google.com/maps/dir//Sakarni+Plaster+India+Pvt.Ltd,+WZ-446%2F337+Srinagar+Extension+Shakurpur,+Shakur+Basti,+New+Delhi,+Delhi+110034/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390cfd309eebed77:0x8649566cb6d836ea?sa=X&ved=1t:57443&ictx=111","Directions",""
"Paramount Instruments Private Limited","· Manufacturer","4.8","(386)","Delhi","· 099999 91080","⋅ Opens 9:30 am Sat","Closed","""Wonderful machines for textile and other industries.""","https://paramountinstruments.com/","Website","https://www.google.com/maps/dir//Ground+Floor,+Paramount+Instruments+Private+Limited,+B-3%2F45,+near+Jwalaheri,+Paschim+Vihar,+Delhi,+110063/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d039715555555:0xd91390d22e553fc3?sa=X&ved=1t:57443&ictx=111","Directions",""
"GOLD PLUS GLASS INDUSTRY LIMITED","· Glass manufacturer","3.9","(58)","New Delhi, Delhi","· 011 6637 6000","⋅ Opens 9 am Sat","Closed","""This is the best company in all terms, fresher can learn a lot from there.""","http://www.goldplusgroup.com/","Website","https://www.google.com/maps/dir//4th,+GOLD+PLUS+GLASS+INDUSTRY+LIMITED,+Kings+Mall,+Sector+10,+Rohini,+New+Delhi,+Delhi+110085/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d016440000001:0x6bc8dbeb299c4177?sa=X&ved=1t:57443&ictx=111","Directions",""
"XO Footwear Pvt. Ltd.","· Shoe factory","4.2","(58)","Delhi","· 011 2701 1792","⋅ Opens 9:30 am Sat","Closed","","https://xofootwear.com/","Website","https://www.google.com/maps/dir//XO+Footwear+Pvt.+Ltd.,+A-122,+Mangolpuri+Industrial+Area+Phase+II,+Mangolpuri,+Delhi,+110083/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d041165555555:0x5aaed205c44218ed?sa=X&ved=1t:57443&ictx=111","Directions",""
"KAY KAY INDUSTRIES","· Manufacturer","4.9","(244)","New Delhi, Delhi","· 093191 84974","⋅ Opens 10 am Sat","Closed","""Most recommended product high educational manikin.""","https://www.spinemodelmanufacturers.com/","Website","https://www.google.com/maps/dir//KAY+KAY+INDUSTRIES,+Rz+B-9,+Dabri+-+Palam+Rd,+Vijay+Enclave,+New+Delhi,+Delhi+110045/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d1b478d5dd4b7:0x49217511d188422a?sa=X&ved=1t:57443&ictx=111","Directions",""
"General Plastic Industries LLP","· Plastic Injection Molding Workshop","4.2","(76)","New Delhi, Delhi","· 099996 00619","⋅ Opens 9 am Sat","Closed","""Highly recommend for anyone seeking reliable manufacturing solutions.""","https://www.generalplastic.in/","Website","https://www.google.com/maps/dir//General+Plastic+Industries+LLP,+Metro+Station,+Street+No.+-+3,+Plot+No.+-+67,+GT+Karnal+Rd,+near+Jahangir+Puri,+Rajasthan+Udyog+Nagar,+New+Delhi,+Delhi+110033/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d019780af1a6b:0x61a6ebab93ff600c?sa=X&ved=1t:57443&ictx=111","Directions",""
"Hosper Modular Switches - Delhi - Unit 1 - Bharat Electrical Industries","· Manufacturer","4.8","(569)","Delhi","· 070423 45656","","Open 24 hours","""And it is  really  a good platform to start new electrical business.""","https://www.hosper.in/","Website","https://www.google.com/maps/dir//Hosper+Modular+Switches+-+Delhi+-+Unit+1+-+Bharat+Electrical+Industries,+Near:+Peera+Garhi+Metro+Station,+F1,+Mangolpuri+Industrial+Area+Phase+II,+Phase+2,+Pocket+BC,+Delhi,+110083/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d040bb6fb7d47:0x31de30b3269c1c3e?sa=X&ved=1t:57443&ictx=111","Directions",""
"Salve Pharmaceuticals","· Beauty Products Wholesaler","4.8","(179)","New Delhi, Delhi","· 011 4736 9005","⋅ Opens 9 am Sat","Closed","""Ltd this company making great products""","https://salvepharma.com/","Website","https://www.google.com/maps/dir//Salve+Pharmaceuticals,+301-A,+Prop.+No.48,+Second+Floor,+Rama+Rd,+Najafgarh+Road+Industrial+Area,+New+Delhi,+Delhi+110015/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x390d021501aca187:0x130c2355b0a0788f?sa=X&ved=1t:57443&ictx=111","Directions",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
