LGD_Code_x,DistrictName,StateName,Population,MORTH_City_Name,AvgAQI_2020,very_dense_forest,mod_dense_forest,open_forest,total_forest_cover,scrub,LGD_Code_y,DistrictVehicles_2020,VehiclesPerCapita,ForestPerCapita_sqkm
450,Kheda,Gujarat,2299885.0,,,0.0,6.95,54.66,61.61,19.92,450,0,0.0,2.6788295936535956e-05
159,Kheri,Uttar Pradesh,4021243.0,,,,,,,,159,0,0.0,
652,Khowai,Tripura,,,,,,,,,652,0,,
606,Khunti,Jharkhand,531885.0,,,77.18,358.61,515.92,951.71,4.05,606,0,0.0,0.0017893153595232053
606,Khunti,Jharkhand,531885.0,,,80.83,447.3,690.59,1218.72,16.72,606,0,0.0,0.0022913223723173243
620,Kishtwar,Jammu And Kashmir,,,,,,,,,620,0,,
263,Kolasib,Mizoram,83955.0,,,,,,,,263,2756,0.03282710976118158,
315,Kolkata,West Bengal,4496694.0,Kolkata,111.21584699453553,,,,,,315,1024077,0.22773997963837433,
559,Kollam,Kerala,2635375.0,Kollam,86.0,,,,,,559,0,0.0,
109,Kota,Rajasthan,1951014.0,Kota,89.23249299719888,,,,,,109,898740,0.4606527682528162,
160,Kushinagar,Uttar Pradesh,3564544.0,,,,,,,,160,0,0.0,
553,Lakshadweep District,Lakshadweep,,,,,,,,,553,0,,
161,Lalitpur,Uttar Pradesh,1221592.0,,,,,,,,161,0,0.0,
335,Latehar,Jharkhand,726978.0,,,485.48,1291.23,606.49,2383.2,7.39,335,0,0.0,0.003278228502100476
335,Latehar,Jharkhand,726978.0,,,160.66,745.3,377.58,1283.54,6.31,335,0,0.0,0.0017655830025117677
234,Lohit,Arunachal Pradesh,145726.0,,,,,,,,234,0,0.0,
615,Longleng,Nagaland,50484.0,,,,,,,,615,4657,0.0922470485698439,
206,Madhubani,Bihar,4487379.0,,,0.0,42.19,189.99,232.18,0.0,206,5097,0.0011358523539019103,5.174067089051315e-05
578,Madurai,Tamil Nadu,3038252.0,Madurai,,,,,,,578,1220409,0.4016812956923915,
69,Mahendragarh,Haryana,922088.0,,,0.0,21.74,89.57,111.31,40.09,69,0,0.0,0.00012071515950755243
669,Mahisagar,Gujarat,,,,0.03,69.65,224.15,293.83,28.45,669,0,,
784,Maihar,Madhya Pradesh,,,49.443768996960486,,,,,,784,0,,
166,Mainpuri,Uttar Pradesh,1868529.0,,,,,,,,166,0,0.0,
706,Majuli,Assam,,,,0.0,3.84,30.92,34.76,1.29,706,0,,
562,Malappuram,Kerala,4112920.0,Malappuram,,,,,,,562,476784,0.1159234801552182,
316,Malda,West Bengal,,,,,,,,,316,0,,
364,Malkangiri,Odisha,613192.0,,,,,,,,364,0,0.0,
684,Mancherial,Telangana,,,,,,,,,684,0,,
168,Mau,Uttar Pradesh,2205968.0,,,,,,,,168,0,0.0,
247,Mon,Nagaland,250260.0,,,,,,,,247,23090,0.0922640453927915,
